p1s,p1u,p2s,p2u,dls,Dlu
41.75,58.45,91.99,128.78,1,1.4
71.27,97.33,155.18,211.5,1,1.2
41.75,50.1,91.99,110.38,1,1.2
23.73,34.82,92.97,143.62,1,1.2
38.75,59.86,112.07,175.46,1,1.2
27.17,40.56,94.1,145.5,1,1.2
29.3,44.11,91.35,140.92,1,1.2
42.88,66.74,102.72,159.88,1,1.2
36.12,55.48,111.38,174.3,1,1.2
25.98,38.58,107.79,168.32,1,1.2
30.49,46.09,77.66,118.11,1,1.2
26.59,39.59,108.11,168.86,1,1.2
33.26,50.71,99.56,154.61,1,1.2
29.97,45.22,85.52,131.2,1,1.2
36.64,56.34,76.97,116.95,1,1.2
59.78,94.9,91,140.34,1,1.2
44.76,69.87,71.9,108.51,1,1.2
56.34,89.17,89.87,138.46,1,1.2
54.21,85.62,92.62,143.04,1,1.2
40.63,62.99,81.25,124.08,1,1.2
47.38,74.25,72.6,109.66,1,1.2
57.52,91.15,76.18,115.64,1,1.2
53.02,83.64,106.31,165.85,1,1.2
56.91,90.13,75.86,115.1,1,1.2
50.25,79.02,84.41,129.35,1,1.2
53.54,84.5,98.45,152.76,1,1.2
46.87,73.39,107,167.01,1,1.2
50.37,20.06,140.12,112.03,1,1.2
61.64,45.1,154.45,143.86,1,1.2
52.95,25.8,140.97,113.91,1,1.2
54.55,29.35,138.91,109.32,1,1.2
64.74,51.98,147.44,128.28,1,1.2
59.67,40.72,153.92,142.7,1,1.2
52.06,23.82,151.24,136.72,1,1.2
55.44,31.33,128.64,86.51,1,1.2
52.52,24.83,151.48,137.26,1,1.2
57.52,35.95,145.07,123.01,1,1.2
55.06,30.46,134.53,99.6,1,1.2
60.06,41.58,128.12,85.35,1,1.2
77.41,80.14,138.64,108.74,1,1.2
66.14,55.11,124.32,76.91,1,1.2
74.83,74.41,137.8,106.86,1,1.2
73.23,70.86,139.86,111.44,1,1.2
63.05,48.23,131.33,92.49,1,1.2
68.12,59.49,124.84,78.07,1,1.2
75.72,76.39,127.53,84.04,1,1.2
72.34,68.88,150.13,134.26,1,1.2
75.26,75.37,127.29,83.5,1,1.2
70.26,64.26,133.7,97.75,1,1.2
72.73,69.74,144.23,121.16,1,1.2
67.73,58.63,150.65,135.41,1,1.2
28.23,20.06,92.73,112.03,1,1.2
39.5,45.1,107.05,143.86,1,1.2
30.81,25.8,93.57,113.91,1,1.2
32.41,29.35,91.51,109.32,1,1.2
42.6,51.98,100.04,128.28,1,1.2
37.53,40.72,106.53,142.7,1,1.2
29.92,23.82,103.84,136.72,1,1.2
33.3,31.33,81.24,86.51,1,1.2
30.38,24.83,104.08,137.26,1,1.2
35.38,35.95,97.67,123.01,1,1.2
32.92,30.46,87.13,99.6,1,1.2
37.92,41.58,80.72,85.35,1,1.2
55.27,80.14,91.25,108.74,1,1.2
44.01,55.11,76.92,76.91,1,1.2
52.69,74.41,90.4,106.86,1,1.2
51.09,70.86,92.46,111.44,1,1.2
40.91,48.23,83.93,92.49,1,1.2
45.98,59.49,77.44,78.07,1,1.2
53.58,76.39,80.13,84.04,1,1.2
50.2,68.88,102.73,134.26,1,1.2
53.12,75.37,79.89,83.5,1,1.2
48.12,64.26,86.3,97.75,1,1.2
50.59,69.74,96.84,121.16,1,1.2
45.59,58.63,103.25,135.41,1,1.2
7.03,7.54,56.18,84.43,0.6,0.9
22.05,32.57,75.28,116.26,0.6,0.9
10.47,13.27,57.31,86.31,0.6,0.9
12.6,16.82,54.56,81.73,0.6,0.9
26.18,39.46,65.93,100.68,0.6,0.9
19.42,28.19,74.58,115.1,0.6,0.9
9.28,11.29,71,109.13,0.6,0.9
13.79,18.8,40.87,58.91,0.6,0.9
9.89,12.31,71.32,109.67,0.6,0.9
16.56,23.42,62.77,95.42,0.6,0.9
13.27,17.94,48.72,72.01,0.6,0.9
19.94,29.05,40.17,57.76,0.6,0.9
43.08,67.62,54.21,81.14,0.6,0.9
28.05,42.58,35.11,49.31,0.6,0.9
39.64,61.88,53.08,79.26,0.6,0.9
37.5,58.33,55.83,83.85,0.6,0.9
23.92,35.7,44.45,64.89,0.6,0.9
30.68,46.96,35.8,50.47,0.6,0.9
40.82,63.86,39.39,56.45,0.6,0.9
36.32,56.35,69.52,106.66,0.6,0.9
40.21,62.85,39.06,55.91,0.6,0.9
33.55,51.74,47.61,70.16,0.6,0.9
36.83,57.22,61.66,93.57,0.6,0.9
30.17,46.1,70.21,107.82,0.6,0.9
21.88,36.48,95.88,147.55,1.018,1.225
23.56,38.87,93.66,144.38,1.018,1.225
41.7,64.79,107.63,164.33,1.018,1.225
39.28,61.33,110.83,168.91,1.018,1.225
63.09,95.35,91.33,141.05,1.018,1.225
61.42,92.96,93.55,144.22,1.018,1.225
43.28,67.04,79.59,124.27,1.018,1.225
45.7,70.5,76.38,119.69,1.018,1.225
48.99,21.72,142.31,115.95,1.013,1.225
50.25,24.11,140.64,112.78,1.013,1.225
63.86,50.03,151.11,132.73,1.013,1.225
62.04,46.57,153.52,137.31,1.013,1.225
79.9,80.59,138.89,109.45,1.013,1.225
78.64,78.2,140.56,112.62,1.013,1.225
65.03,52.28,130.08,92.67,1.013,1.225
66.85,55.74,127.68,88.09,1.013,1.225
26.85,21.72,94.91,115.95,1.013,1.225
28.11,24.11,93.24,112.78,1.013,1.225
41.72,50.03,103.72,132.73,1.013,1.225
39.9,46.57,106.12,137.31,1.013,1.225
57.76,80.59,91.5,109.45,1.013,1.225
56.5,78.2,93.16,112.62,1.013,1.225
42.9,52.28,82.69,92.67,1.013,1.225
44.71,55.74,80.28,88.09,1.013,1.225
4.45,7.09,57.47,83.72,0.6,0.875
6.12,9.48,55.25,80.55,0.6,0.875
24.27,35.4,69.21,100.5,0.6,0.875
21.84,31.94,72.42,105.08,0.6,0.875
45.66,65.96,52.92,77.22,0.6,0.875
43.98,63.57,55.14,80.39,0.6,0.875
25.84,37.65,41.17,60.44,0.6,0.875
28.26,41.11,37.97,55.86,0.6,0.875
